id,original_title,title,director,cast,release_year,runtime,url
35,Det sjunde inseglet,O Sétimo Selo,Ingmar Bergman,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']",1957,01:36:00,https://medeiafilmes.com/filmes/o-setimo-selo-1957
37,Jour de Fête,Há Festa na Aldeia,Jacques Tati,"['Jacques Tati', 'Guy Descombe', 'Paul Frankeur', 'Santa Relli', 'Maine Vallée']",1949,01:19:00,https://medeiafilmes.com/filmes/ha-festa-na-aldeia-1949
50,Ohayô,Bom Dia,Yasujiro Ozu,"['Keiji Sada', 'Yoshiko Kuga', 'Chishu Ryu', 'Kuniko Miyake']",1959,01:33:00,https://medeiafilmes.com/filmes/bom-dia-1959
68,El Ángel Exterminador,O Anjo Exterminador,Luis Buñuel,"['Silvia Pinal', 'Jacqueline Andere', 'Enrique Rambal']",1962,01:33:00,https://medeiafilmes.com/filmes/o-anjo-exterminador-1962
74,2001 – A Space Odyssey,2001 – Odisseia no Espaço,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",1968,02:29:00,https://medeiafilmes.com/filmes/2001-odisseia-no-espaco-1968
85,The Shining,Shining,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Scatman Crothers', 'Danny Lloyd']",1980,02:26:00,https://medeiafilmes.com/filmes/shining-1980
97,Tôkio monogatari,Viagem a Tóquio,Yasujiro Ozu,"['Chishu Ryu', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'So Yamamura']",1953,02:16:00,https://medeiafilmes.com/filmes/viagem-a-toquio-1953
111,Mon oncle,O Meu Tio,Jacques Tati,"['Jacques Tati', 'Dominique Marie', 'Jean Pierre Zola', 'Adrienne Servantie']",1958,01:41:00,https://medeiafilmes.com/filmes/o-meu-tio-1958
120,Otto e Mezzo,Fellini 8½,Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Claudia Cardinale']",1963,02:18:00,https://medeiafilmes.com/filmes/fellini-8-1963
163,A High Wind in Jamaica,Tempestade na Jamaica,Alexander Mackendrick,"['Anthony Quinn', 'James Coburn', 'Dennis Price', 'Lila Kedrova']",1965,01:43:00,https://medeiafilmes.com/filmes/tempestade-na-jamaica-1965
167,Aus dem Leben der Marionetten,Da Vida das Marionetas,Ingmar Bergman,"['Robert Atzorn', 'Christine Buchegger', 'Martin Benrath']",1980,01:44:00,https://medeiafilmes.com/filmes/da-vida-das-marionetas-1980
168,En lektion i kärlek,Uma Lição de Amor,Ingmar Bergman,"['Eva Dahlbeck', 'Gunnar Björnstrand', 'Yvonne Lombard']",1954,01:36:00,https://medeiafilmes.com/filmes/uma-licao-de-amor-1954
169,Riten,Ritual,Ingmar Bergman,"['Ingrid Thulin', 'Anders Ek', 'Gunnar Björnstrand']",1969,01:12:00,https://medeiafilmes.com/filmes/ritual-1969
170,Persona,A Máscara,Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']",1966,01:24:00,https://medeiafilmes.com/filmes/a-mascara-1966
172,Viskningar och rop,Lágrimas e Suspiros,Ingmar Bergman,"['Ingrid Thulin', 'Liv Ullman', 'Harriet Andersson']",1972,01:31:00,https://medeiafilmes.com/filmes/lagrimas-e-suspiros-1972
173,Scener ur ett äktenskap,Cenas da Vida Conjugal,Ingmar Bergman,"['Liv Ullmann', 'Erland Josephson', 'Bibi Andersson']",1973,02:52:00,https://medeiafilmes.com/filmes/cenas-da-vida-conjugal-1973
175,Blow-Up,Blow-Up - História de um Fotógrafo,Michelangelo Antonioni,"['Vanessa Redgrave', 'Sarah Miles', 'David Hemmings']",1966,01:51:00,https://medeiafilmes.com/filmes/blow-up-historia-de-um-fotografo-1966
176,L'oro di Napoli,O Ouro de Nápoles,Vittorio de Sica,"['Totò', 'Lianella Carell', 'Sophia Loren', 'Paolo Stoppa']",1954,02:11:00,https://medeiafilmes.com/filmes/o-ouro-de-napoles-1954
177,Il Decameron,Decameron,Pier Paolo Pasolini,"['Franco Citti', 'Ninetto Davoli', 'Jovan Jovanovich']",1971,01:52:00,https://medeiafilmes.com/filmes/decameron-1971
179,Il gattopardo,O Leopardo,Luchino Visconti,"['Claudia Cardinale', 'Alain Delon', 'Burt Lancaster']",1963,03:05:00,https://medeiafilmes.com/filmes/o-leopardo-1963
181,Amarcord,Amarcord,Federico Fellini,"['Bruno Zanin', 'Pupella Maggio', 'Armando Brancia', 'Magali Noël']",1969,02:03:00,https://medeiafilmes.com/filmes/amarcord-1969
